Jaartal,Postcode,"Nederlandse
2019,3448,80,10,10
2019,3449,90,10,0
2019,3451,80,10,10
2019,3452,70,10,20
2019,3453,70,10,20
2019,3454,80,10,10
2019,3455,90,10,0
2019,3461,90,0,10
2019,3464,90,0,0
2019,3465,90,0,0
2019,3466,90,0,0
2019,3467,90,10,0
2019,3471,90,0,0
2019,3474,90,0,0
2019,3481,90,10,0
2019,3511,70,20,10
2019,3512,70,20,10
2019,3513,70,10,20
2019,3514,80,10,10
2019,3515,70,10,20
2019,3521,70,10,20
2019,3522,70,10,20
2019,3523,70,10,20
2019,3524,70,10,20
2019,3525,60,10,30
2019,3526,40,10,50
2019,3527,40,10,50
2019,3531,60,10,20
2019,3532,70,10,20
2019,3533,70,10,20
2019,3534,80,10,10
2019,3541,60,10,30
2019,3542,70,10,20
2019,3543,60,10,30
2019,3544,60,10,30
2019,3545,80,0,10
2019,3546,90,10,0
2019,3551,70,10,20
2019,3552,70,10,20
2019,3553,70,10,10
2019,3554,50,10,40
2019,3555,60,10,30
2019,3561,40,10,50
2019,3562,40,10,50
2019,3563,50,10,40
2019,3564,30,10,60
2019,3565,60,10,30
2019,3566,90,10,10
2019,3571,80,10,10
2019,3572,80,20,10
2019,3573,80,10,10
2019,3581,80,20,10
2019,3582,80,10,10
2019,3583,80,10,10
2019,3584,60,30,10
2019,3585,80,10,10
2019,3601,80,10,10
2019,3602,90,10,0
2019,3603,90,10,0
2019,3604,90,10,10
2019,3605,70,10,20
2019,3606,30,40,30
2019,3607,80,10,10
2019,3608,80,10,10
2019,3611,90,10,0
2019,3612,90,10,0
2019,3615,90,0,0
2019,3621,80,10,10
2019,3625,80,20,0
2019,3626,90,0,0
2019,3628,90,10,0
2019,3631,80,10,10
2019,3632,80,10,10
2019,3633,90,10,10
2019,3634,90,10,0
2019,3641,80,10,10
2019,3642,80,10,10
2019,3643,90,10,10
2019,3645,90,10,10
2019,3646,90,10,0
2019,3648,90,10,10
2019,3652,90,0,0
2019,3701,80,10,10
2019,3702,80,10,10
2019,3703,70,10,20
2019,3704,70,10,20
2019,3705,80,10,10
2019,3706,50,10,40
2019,3707,80,10,10
2019,3708,80,10,10
2019,3709,80,20,0
2019,3711,90,10,0
2019,3712,80,10,10
2019,3721,80,10,10
2019,3722,80,10,10
2019,3723,80,10,10
2019,3731,80,10,10
2019,3732,80,10,10
2019,3734,80,10,10
2019,3735,80,10,0
2019,3737,90,10,0
2019,3738,90,10,0
2019,3739,80,10,0
2019,3741,80,10,10
2019,3742,80,10,10
2019,3743,80,10,10
2019,3744,80,10,0
2019,3749,80,10,0
2019,3751,90,10,0
2019,3752,90,10,10
2019,3754,100,0,0
2019,3755,90,10,10
2019,3761,90,10,0
2019,3762,80,10,10
2019,3763,80,10,10
2019,3764,70,10,20
2019,3765,60,10,30
2019,3766,80,10,10
2019,3768,90,10,0
2019,3769,80,10,10
2019,3771,90,0,0
2019,3772,90,10,10
2019,3773,90,0,0
2019,3774,100,0,0
2019,3776,90,0,0
2019,3781,90,0,0
2019,3784,90,0,0
2019,3785,100,0,0
2019,3791,90,0,0
2019,3794,90,10,10
2019,3811,80,10,10
2019,3812,80,10,10
2019,3813,70,10,20
2019,3814,50,10,40
2019,3815,60,10,40
2019,3816,60,10,30
2019,3817,80,10,10
2019,3818,80,10,10
2019,3819,50,20,30
2019,3821,80,10,20
2019,3822,80,10,10
2019,3823,80,10,10
2019,3824,80,10,10
2019,3825,80,10,20
2019,3826,70,10,20
2019,3828,90,10,0
2019,3829,80,10,10
2019,3831,80,10,10
2019,3832,90,10,0
2019,3833,80,10,10
2019,3834,80,10,10
2019,3835,90,0,0
2019,3841,90,10,10
2019,3842,70,10,20
2019,3843,70,10,20
2019,3844,80,10,10
2019,3845,80,10,10
2019,3846,80,10,10
2019,3847,90,10,0
2019,3848,90,10,10
2019,3849,90,10,0
2019,3851,90,10,0
2019,3852,90,10,0
2019,3853,90,10,10
2019,3861,90,10,10
2019,3862,90,10,10
2019,3863,90,10,10
2019,3864,90,0,0
2019,3871,90,10,0
2019,3881,90,0,0
2019,3882,90,0,0
2019,3886,90,0,0
2019,3888,90,10,0
2019,3891,80,10,10
2019,3892,80,10,0
2019,3893,90,10,10
2019,3894,80,10,10
2019,3896,90,10,0
2019,3899,80,10,10
2019,3901,70,10,20
2019,3902,80,10,10
2019,3903,90,10,10
2019,3904,80,10,10
2019,3905,80,10,10
2019,3906,90,10,0
2019,3907,80,0,10
2019,3911,90,10,10
2019,3912,90,10,0
2019,3921,90,0,0
2019,3922,90,0,0
2019,3925,90,0,0
2019,3927,90,0,0
2019,3931,90,0,10
2019,3941,80,10,10
2019,3945,90,0,0
2019,3947,90,0,0
2019,3951,90,10,0
2019,3953,90,10,10
2019,3956,80,10,10
2019,3958,90,10,0
2019,3959,90,10,0
2019,3961,90,10,10
2019,3962,90,10,10
2019,3971,90,10,0
2019,3972,80,10,10
2019,3981,90,10,10
2019,3984,90,10,10
2019,3985,90,10,0
2019,3991,90,10,10
2019,3992,90,10,10
2019,3993,80,10,10
2019,3994,80,10,10
2019,3995,70,10,20
2019,3997,90,0,0
2019,3998,90,0,0
2019,3999,90,10,0
2020,3011,50,20,30
2020,3012,40,20,40
2020,3013,40,20,40
2020,3014,20,10,60
2020,3015,60,20,30
2020,3016,60,20,20
2020,3021,40,20,40
2020,3022,30,10,50
2020,3023,30,10,60
2020,3024,50,10,40
2020,3025,20,10,70
2020,3026,20,10,60
2020,3027,20,10,70
2020,3028,30,20,40
2020,3029,10,10,70
2020,3031,40,20,40
2020,3032,40,20,50
2020,3033,40,20,40
2020,3034,40,10,50
2020,3035,40,10,50
2020,3036,30,10,60
2020,3037,50,10,30
2020,3038,60,20,30
2020,3039,70,20,10
2020,3041,40,10,50
2020,3042,40,10,50
2020,3043,70,10,20
2020,3044,80,10,10
2020,3045,70,10,20
2020,3046,90,10,0
2020,3051,70,10,10
2020,3052,50,10,40
2020,3053,70,10,20
2020,3054,70,10,20
2020,3055,80,10,10
2020,3056,70,10,20
2020,3059,70,10,20
2020,3061,50,10,40
2020,3062,60,20,20
2020,3063,50,20,30
2020,3064,80,10,10
2020,3065,70,10,20
2020,3066,60,10,30
2020,3067,50,10,30
2020,3068,60,10,30
2020,3069,70,10,20
2020,3071,30,10,60
2020,3072,30,10,60
2020,3073,20,10,60
2020,3074,20,10,70
2020,3075,50,10,40
2020,3076,40,10,50
2020,3077,40,10,50
2020,3078,50,10,40
2020,3079,50,10,40
2020,3081,20,20,60
2020,3082,40,20,40
2020,3083,30,30,40
2020,3084,70,10,20
2020,3085,40,10,50
2020,3086,30,10,60
2020,3087,40,10,50
2020,3089,60,10,30
2020,3111,60,20,20
2020,3112,40,30,40
2020,3114,70,10,20
2020,3116,80,10,10
2020,3117,60,20,20
2020,3118,30,10,60
2020,3119,30,10,60
2020,3121,80,10,10
2020,3122,50,10,40
2020,3123,80,10,10
2020,3124,80,10,10
2020,3125,80,10,10
2020,3131,60,10,20
2020,3132,50,10,30
2020,3133,80,10,10
2020,3134,70,10,20
2020,3135,70,10,20
2020,3136,70,10,20
2020,3137,80,10,10
2020,3141,70,10,20
2020,3142,70,10,20
2020,3143,70,10,10
2020,3144,70,10,20
2020,3145,70,10,20
2020,3146,80,10,10
2020,3147,90,10,10
2020,3151,80,10,10
2020,3155,90,10,10
2020,3161,80,10,10
2020,3162,70,10,20
2020,3171,80,10,10
2020,3172,70,10,20
2020,3176,80,10,10
2020,3181,80,10,10
2020,3191,70,10,20
2020,3192,60,10,30
2020,3193,50,10,40
2020,3194,50,10,40
2020,3195,80,10,10
2020,3201,70,10,20
2020,3202,70,10,20
2020,3203,70,10,20
2020,3204,70,10,20
2020,3205,70,10,20
2020,3206,60,10,30
2020,3207,80,10,10
2020,3208,80,10,10
2020,3209,90,10,0
2020,3211,90,10,0
2020,3212,90,0,0
2020,3214,90,0,0
2020,3216,90,10,0
2020,3218,90,10,0
2020,3221,80,10,10
2020,3222,70,10,20
2020,3223,90,10,0
2020,3224,80,10,10
2020,3225,80,10,10
2020,3227,90,10,0
2020,3231,80,10,0
2020,3232,80,10,10
2020,3233,90,10,0
2020,3234,90,10,0
2020,3235,90,10,0
2020,3237,90,10,0
2020,3238,90,10,0
2020,3241,90,0,0
2020,3243,90,10,0
2020,3244,90,0,0
2020,3245,90,0,0
2020,3247,90,0,0
2020,3248,90,10,0
2020,3249,90,0,0
2020,3251,90,0,0
2020,3252,90,0,0
2020,3253,100,0,0
2020,3255,90,10,0
2020,3256,90,10,0
2020,3257,90,10,0
2020,3258,90,10,0
2020,3261,90,10,10
2020,3262,90,10,0
2020,3263,90,10,0
2020,3264,90,0,0
2020,3265,90,10,0
2020,3267,90,0,0
2020,3271,90,10,0
2020,3273,90,10,0
2020,3274,90,0,10
2020,3281,90,10,0
2020,3284,90,10,0
2020,3286,90,0,0
2020,3291,90,10,0
2020,3292,90,0,0
2020,3293,90,0,0
2020,3295,90,0,0
2020,3297,90,10,0
2020,3299,90,10,0
2020,3311,70,10,20
2020,3312,70,10,20
2020,3313,60,20,20
2020,3314,60,10,30
2020,3315,80,10,10
2020,3316,90,10,10
2020,3317,50,10,30
2020,3318,70,10,20
2020,3319,90,10,10
2020,3328,80,10,10
2020,3329,90,10,10
2020,3331,70,10,20
2020,3332,80,10,10
2020,3333,70,10,20
2020,3334,80,10,10
2020,3335,90,10,10
2020,3341,90,10,10
2020,3342,90,10,10
2020,3343,90,10,10
2020,3344,80,10,10
2020,3351,80,10,10
2020,3352,80,10,10
2020,3353,70,10,20
2020,3354,80,10,10
2020,3355,90,10,10
2020,3356,80,10,10
2020,3361,90,0,10
2020,3362,80,10,10
2020,3363,90,0,10
2020,3364,90,0,0
2020,3366,100,0,0
2020,3371,90,0,0
2020,3372,90,0,0
2020,3373,90,0,0
2020,3381,90,0,0
2020,3401,90,10,10
2020,3402,70,10,20
2020,3403,90,10,0
2020,3404,80,10,20
2020,3405,90,0,0
2020,3411,90,0,10
2020,3412,90,10,0
2020,3413,90,0,0
2020,3415,90,0,0
2020,3417,90,10,0
2020,3421,90,0,0
2020,3425,100,0,0
2020,3431,60,10,30
2020,3432,70,10,20
2020,3433,90,10,10
2020,3434,80,10,10
2020,3435,70,10,10
2020,3436,70,10,20
2020,3437,80,10,10
2020,3438,70,10,20
2020,3439,70,10,20
2020,3441,80,10,10
2020,3442,80,10,10
2020,3443,80,10,10
2020,3445,80,10,10
2020,3446,90,10,10
2020,3448,80,10,10
2020,3449,90,10,0
2020,3451,80,10,10
2020,3452,70,10,20
2020,3453,70,10,20
2020,3454,80,10,10
2020,3455,90,10,0
2020,3461,90,0,10
2020,3464,90,0,0
2020,3465,90,0,0
2020,3466,90,0,0
2020,3467,90,10,0
2020,3471,90,0,0
2020,3474,90,10,0
2020,3481,90,10,0
2020,3511,70,20,10
2020,3512,70,20,10
2020,3513,70,10,20
2020,3514,70,20,10
2020,3515,70,10,20
2020,3521,70,10,20
2020,3522,70,10,20
2020,3523,70,10,20
2020,3524,70,10,20
2020,3525,60,10,30
2020,3526,40,10,50
2020,3527,40,10,50
2020,3531,60,10,20
2020,3532,70,10,20
2020,3533,70,10,20
2020,3534,80,10,10
2020,3541,60,10,30
2020,3542,70,10,20
2020,3543,50,10,30
2020,3544,60,10,30
2020,3545,60,0,40
2020,3546,90,10,10
2020,3551,70,10,20
2020,3552,70,10,20
2020,3553,70,10,10
2020,3554,50,10,40
2020,3555,60,10,30
2020,3561,40,10,50
2020,3562,40,10,50
2020,3563,50,10,40
2020,3564,30,10,60
2020,3565,60,20,20
2020,3566,90,10,10
2020,3571,80,10,10
2020,3572,80,20,10
2020,3573,80,10,10
2020,3581,80,20,10
2020,3582,80,10,10
2020,3583,80,10,10
2020,3584,60,30,10
2020,3585,80,20,10
2020,3601,80,10,10
2020,3602,90,10,0
2020,3603,90,10,0
2020,3604,90,10,10
2020,3605,70,10,20
2020,3606,60,10,30
2020,3607,80,10,10
2020,3608,80,10,10
2020,3611,90,10,0
2020,3612,90,10,0
2020,3615,90,0,0
2020,3621,80,10,10
2020,3625,80,20,0
2020,3626,90,10,0
2020,3628,90,10,0
2020,3631,80,10,10
2020,3632,80,10,10
2020,3633,90,10,0
2020,3634,90,10,0
2020,3641,80,10,10
2020,3642,80,10,10
2020,3643,90,10,10
2020,3645,90,10,10
2020,3646,90,10,0
2020,3648,90,10,10
2020,3652,90,10,0
2020,3701,80,10,10
2020,3702,80,10,10
2020,3703,70,10,20
2020,3704,70,10,20
2020,3705,80,10,10
2020,3706,50,10,40
2020,3707,80,10,10
2020,3708,80,10,10
2020,3709,80,20,0
2020,3711,90,10,0
2020,3712,80,10,10
2020,3721,80,10,20
2020,3722,80,10,10
2020,3723,80,10,10
2020,3731,80,10,10
2020,3732,80,10,10
2020,3734,80,10,10
2020,3735,80,10,0
2020,3737,90,10,0
2020,3738,90,10,0
2020,3739,80,10,0
2020,3741,80,10,10
2020,3742,80,10,10
2020,3743,80,10,10
2020,3744,80,10,0
2020,3749,80,10,0
2020,3751,90,10,0
2020,3752,90,10,10
2020,3754,100,0,0
2020,3755,90,10,10
2020,3761,90,10,0
2020,3762,80,10,10
2020,3763,80,10,10
2020,3764,70,10,20
2020,3765,60,10,30
2020,3766,80,10,10
2020,3768,90,10,0
2020,3769,80,10,10
2020,3771,90,0,0
2020,3772,90,0,10
2020,3773,90,0,0
2020,3774,100,0,0
2020,3776,90,0,0
2020,3781,90,0,0
2020,3784,90,0,0
2020,3785,90,0,0
2020,3791,90,0,0
2020,3794,90,0,10
2020,3811,80,10,10
2020,3812,80,10,10
2020,3813,70,10,20
2020,3814,50,10,40
2020,3815,60,10,40
2020,3816,60,10,30
2020,3817,80,10,10
2020,3818,80,10,10
2020,3819,60,10,30
2020,3821,70,10,20
2020,3822,80,10,10
2020,3823,80,10,10
2020,3824,80,10,10
2020,3825,70,10,20
2020,3826,70,10,20
2020,3828,90,10,0
2020,3829,80,10,10
2020,3831,80,10,10
2020,3832,90,10,10
2020,3833,80,10,10
2020,3834,80,10,10
2020,3835,90,0,0
2020,3841,90,10,10
2020,3842,70,10,20
2020,3843,70,10,30
2020,3844,80,10,10
2020,3845,80,10,10
2020,3846,80,10,10
2020,3847,90,10,0
2020,3848,90,10,10
2020,3849,90,10,0
2020,3851,90,10,0
2020,3852,90,10,0
2020,3853,90,10,10
2020,3861,90,10,10
2020,3862,90,0,10
2020,3863,90,10,10
2020,3864,90,0,0
2020,3871,90,10,0
2020,3881,90,0,0
2020,3882,90,0,0
2020,3886,90,0,0
2020,3888,100,0,0
2020,3891,80,10,10
2020,3892,80,10,10
2020,3893,80,10,10
2020,3894,80,10,10
2020,3896,90,0,0
2020,3899,70,10,20
2020,3901,70,10,20
2020,3902,80,10,20
2020,3903,90,10,10
2020,3904,80,10,10
2020,3905,80,10,10
2020,3906,90,10,0
2020,3907,80,0,10
2020,3911,90,10,10
2020,3912,90,10,10
2020,3921,90,0,0
2020,3922,90,0,0
2020,3925,90,0,0
2020,3927,90,0,0
2020,3931,90,0,10
2020,3941,80,10,10
2020,3945,90,0,0
2020,3947,90,0,0
2020,3951,90,10,0
2020,3953,90,10,10
2020,3956,80,10,10
2020,3958,90,10,0
2020,3959,90,10,0
2020,3961,90,10,10
2020,3962,90,10,10
2020,3971,90,10,0
2020,3972,80,10,10
2020,3981,80,10,10
2020,3984,90,10,10
2020,3985,90,10,0
2020,3991,80,10,10
2020,3992,90,10,10
2020,3993,80,10,10
2020,3994,80,10,10
2020,3995,70,10,20
2020,3997,90,0,0
2020,3998,90,0,0
2020,3999,90,0,0