bc2021,bc_naam,mbc,mbc_code,pDiscr,gini_inc_st,avg_inc,sh_housow1,sh_housow3,simp_educ,simp_motive,simp_conbirth,median_inc,totalhh,sh_housow2,sh_housow8,avg_welfare,sh_welf1,sh_welf2,sh_welf3,sh_welf4,sh_welf5,sh_educ1,sh_educ3,sh_educ4,sh_educ5,sh_educ6,sh_recent,sh_stat1,sh_stat2,sh_stat3,sh_stat4,sh_stat5,totalpop,N_conbirth,forborn_sh,NLbornbur,abs_disrep,gini_inc_st_norm,avg_inc_norm,sh_housow1_norm,sh_housow3_norm,simp_educ_norm,simp_motive_norm,simp_conbirth_norm,pDiscr_norm
5991079,Kop van Zuid - Entrepot,Kop van Zuid - Entrepot,1,0.16,0.324,30481.94,0.3,0.28,0.74,0.58,0.58,25082,3825,0.41,0,14,0.75,0.05,0.07,0.05,0.07,0.15,0.39,0.06,0.2,0.2,0.03,0.61,0.13,0.07,0.13,0.06,8102,125,0.36,5209,20,2,2,2,2,2,1,2,2
5990842,Kralingen Oost,Kralingen Oost/Kralingse Bos,5,0.08,0.567,53998.61,0.45,0.1,0.64,0.73,0.49,33204,3836,0.44,0.01,3,0.93,0.03,0.01,0.01,0.02,0.02,0.13,0.08,0.23,0.53,0.08,0.25,0.17,0.38,0.02,0.18,8198,146,0.29,5861,7,3,3,2,1,2,3,2,1
5990841,Kralingen West,Kralingen West,1,0.17,0.338,25084.09,0.26,0.28,0.77,0.72,0.54,21208,8595,0.45,0.01,13,0.78,0.05,0.05,0.04,0.08,0.17,0.32,0.07,0.19,0.25,0.05,0.43,0.13,0.21,0.15,0.08,16062,172,0.32,10861,7,2,2,2,2,3,2,2,2
5990843,Kralingse Bos,Kralingen Oost/Kralingse Bos,5,0.08,0.387,31330.9,0.38,NA,0.61,NA,0.06,25301,50,0.62,NA,8,0.83,NA,NA,NA,NA,0.28,0.54,NA,0.14,NA,0.01,NA,NA,NA,NA,NA,104,4,NA,101,7,3,2,2,NA,2,NA,1,1
5991446,Kralingseveer,Kralingseveer,1,0.11,0.251,29311.08,0.69,0.1,0.71,0.71,0.24,28026,734,0.19,NA,9,0.83,0.06,0.05,0.02,0.04,0.21,0.44,0.09,0.2,0.07,0.02,0.46,0.18,0.2,NA,NA,1637,53,0.13,1428,7,2,2,3,1,2,2,1,2
5990457,Landzicht,Landzicht,1,NA,0.212,22236.73,0.31,0.32,0.53,NA,0.06,19671.5,201,0.37,NA,22,0.66,NA,0.08,0.07,0.15,0.55,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,384,8,NA,373,3,1,2,2,2,1,NA,1,NA
5990534,Liskwartier,Liskwartier,1,0.15,0.306,27722.55,0.36,0.24,0.77,0.69,0.45,24487,3966,0.39,0.02,12,0.8,0.04,0.05,0.03,0.07,0.16,0.29,0.07,0.23,0.25,0.03,0.49,0.18,0.14,0.1,0.09,7708,117,0.26,5678,15,2,2,2,2,3,2,2,2
5991284,Lombardijen,Lombardijen,1,0.16,0.261,24151.03,0.29,0.33,0.62,0.64,0.55,21093,7057,0.34,0.03,16,0.72,0.06,0.07,0.05,0.09,0.2,0.56,0.05,0.14,0.05,0.05,0.52,0.09,0.04,0.28,0.07,14222,146,0.33,9467,14,2,2,2,2,2,2,2,2
5990325,Middelland,Middelland,1,0.12,0.337,26260.58,0.29,0.24,0.77,0.73,0.58,22873.5,6378,0.46,0.01,11,0.81,0.05,0.04,0.03,0.07,0.14,0.31,0.07,0.24,0.24,0.06,0.42,0.2,0.17,0.1,0.1,12015,162,0.36,7729,16,2,2,2,2,3,3,2,2
5990665,Molenlaankwartier,Molenlaankwartier,1,0.06,0.4,49896.07,0.69,0.08,0.71,0.6,0.23,38749.5,3506,0.18,0.04,4,0.92,0.03,0.02,0.01,0.02,0.05,0.17,0.07,0.36,0.35,0.03,0.56,0.29,0.08,NA,0.06,8251,92,0.12,7255,5,3,3,3,1,2,2,1,1
5991468,Nesselande,Nesselande,1,0.11,0.276,39459.02,0.74,0.07,0.71,0.66,0.26,36285,4601,0.17,0.02,5,0.89,0.05,0.03,0.01,0.02,0.05,0.36,0.05,0.34,0.2,0.01,0.53,0.15,0.11,0.16,0.05,12783,103,0.14,11020,17,2,3,3,1,2,2,1,2
5990836,Nieuw Crooswijk,Nieuw Crooswijk,1,0.14,0.336,26826.74,0.2,0.32,0.76,0.69,0.45,21724,1647,0.47,0.01,15,0.75,0.05,0.06,0.05,0.08,0.14,0.32,0.07,0.25,0.22,0.04,0.48,0.16,0.08,0.21,0.08,3430,100,0.26,2532,7,2,2,2,2,3,2,2,2
5991926,Nieuw Mathenesse,Nieuw Mathenesse,1,NA,0.355,21669.39,0.07,0.18,0.69,0.59,0.95,21485,186,0.75,NA,4,0.91,NA,NA,NA,NA,NA,0.12,0.1,0.36,0.39,0.21,0.14,0.21,0.59,NA,0.06,654,85,0.86,90,16,2,2,1,2,2,2,3,NA
5990118,Nieuwe Werk,Nieuwe Werk/Dijkzigt,3,0.1,0.532,45221.54,0.44,0.15,0.65,0.72,0.46,30835,1172,0.41,NA,2,0.95,0.02,0.01,NA,0.02,NA,0.12,0.08,0.32,0.48,0.07,0.3,0.33,0.27,NA,0.07,2087,88,0.27,1529,16,3,3,2,2,2,2,2,2
5990324,Nieuwe Westen,Nieuwe Westen,1,0.21,0.323,23780.04,0.24,0.31,0.77,0.67,0.61,20287.5,9412,0.43,0.02,16,0.74,0.06,0.06,0.05,0.09,0.2,0.32,0.09,0.2,0.19,0.04,0.52,0.15,0.13,0.12,0.08,19508,177,0.39,11929,16,2,2,2,2,3,2,2,3
5990452,Noord Kethel,NoordKethel/Schieveen/Zestienhoven,6,0.08,0.263,36470.94,0.74,NA,0.63,NA,0.09,39341,34,NA,NA,4,0.85,NA,NA,NA,NA,NA,0.42,NA,0.4,0.19,NA,NA,NA,NA,NA,NA,65,4,NA,62,3,2,3,3,NA,2,NA,1,1
5991088,Noordereiland,Noordereiland,1,0.15,0.299,28810.34,0.31,0.26,0.76,0.72,0.45,25108,1925,0.42,0.01,13,0.79,0.05,0.05,0.04,0.08,0.3,0.27,0.04,0.2,0.18,0.04,0.44,0.2,0.11,0.18,0.07,3358,109,0.26,2491,20,2,2,2,2,3,2,2,2
5991463,Ommoord,Ommoord,1,0.09,0.241,26958.58,0.38,0.26,0.64,0.65,0.31,24269,13217,0.34,0.02,11,0.81,0.04,0.04,0.03,0.07,0.13,0.54,0.07,0.19,0.07,0.02,0.47,0.09,0.05,0.33,0.05,25716,165,0.17,21310,17,2,2,2,2,2,2,2,2
5991467,Oosterflank,Oosterflank,1,0.11,0.243,25439.53,0.33,0.33,0.67,0.68,0.47,22648,5558,0.33,0.01,16,0.73,0.05,0.06,0.05,0.11,0.17,0.52,0.09,0.14,0.08,0.03,0.5,0.11,0.11,0.23,0.06,10570,144,0.27,7676,17,2,2,2,2,2,2,2,2
5991574,Oud Charlois,Oud Charlois,1,0.24,0.261,23235.59,0.33,0.29,0.67,0.63,0.6,21225.5,6799,0.36,0.02,16,0.73,0.06,0.07,0.04,0.09,0.16,0.51,0.07,0.19,0.07,0.05,0.56,0.18,0.1,0.06,0.11,13826,153,0.37,8678,12,2,2,2,2,2,2,2,3
5990837,Oud Crooswijk,Oud Crooswijk,1,0.22,0.252,20702.76,0.08,0.47,0.68,0.59,0.58,18270.5,4034,0.41,0.03,23,0.63,0.06,0.09,0.07,0.15,0.26,0.48,0.07,0.12,0.07,0.03,0.58,0.06,0.07,0.24,0.05,8161,128,0.36,5190,7,2,1,1,3,2,2,2,3
5991283,Oud IJsselmonde,Oud IJsselmonde,1,0.12,0.258,33307.68,0.69,0.07,0.65,0.66,0.38,31206,2686,0.23,NA,7,0.86,0.05,0.03,0.02,0.03,0.08,0.53,0.07,0.22,0.09,0.02,0.53,0.15,0.09,0.15,0.08,5980,109,0.21,4711,14,2,2,3,1,2,2,2,2
5990327,Oud Mathenesse,Oud Mathenesse/Witte Dorp,7,0.21,0.243,22993.02,0.36,0.27,0.62,0.68,0.72,21644,3811,0.36,0,14,0.77,0.06,0.05,0.04,0.08,0.18,0.57,0.06,0.12,0.08,0.1,0.5,0.21,0.1,0.07,0.12,7192,138,0.49,3685,16,2,2,2,2,2,2,3,3
5990535,Oude Noorden,Oude Noorden,1,0.19,0.293,23609.32,0.2,0.35,0.74,0.66,0.58,20325,8649,0.45,0.01,18,0.71,0.06,0.07,0.05,0.11,0.19,0.4,0.08,0.17,0.17,0.03,0.52,0.12,0.1,0.18,0.08,17026,168,0.36,10902,15,2,2,2,2,2,2,2,2
5990111,Oude Westen,Oude Westen,1,0.22,0.328,23977.31,0.18,0.36,0.77,0.71,0.66,19247,5085,0.42,0.04,17,0.72,0.05,0.07,0.05,0.11,0.18,0.26,0.05,0.24,0.26,0.04,0.46,0.16,0.13,0.18,0.07,9602,147,0.43,5476,15,2,2,2,2,3,2,3,3
5990456,Overschie,Overschie,1,0.11,0.27,30795.46,0.64,0.15,0.66,0.67,0.28,28156,3155,0.21,0,9,0.84,0.05,0.04,0.02,0.05,0.11,0.52,0.06,0.19,0.11,0.02,0.52,0.16,0.06,0.15,0.11,6842,104,0.15,5819,3,2,2,3,2,2,2,2,2
5991577,Pendrecht,Pendrecht,1,0.16,0.238,23084.99,0.31,0.34,0.63,0.62,0.63,21150.5,5634,0.32,0.04,19,0.68,0.06,0.08,0.06,0.11,0.21,0.56,0.09,0.11,0.04,0.04,0.56,0.09,0.04,0.22,0.08,12221,138,0.4,7329,12,2,2,2,2,2,2,2,2
5991391,Pernis,Pernis,1,0.05,0.218,30535.64,0.71,0.1,0.5,0.64,0.2,29126,2251,0.17,0.02,6,0.87,0.05,0.04,0.02,0.03,0.1,0.68,0.04,0.15,0.03,0.01,0.55,0.15,0.05,0.09,0.16,4875,76,0.1,4371,NA,1,2,3,1,1,2,1,1
5991448,Prinsenland,Prinsenland,1,0.12,0.299,29442.65,0.37,0.27,0.69,0.68,0.37,24123,5144,0.34,0.02,13,0.79,0.04,0.04,0.03,0.09,0.12,0.49,0.08,0.18,0.13,0.02,0.44,0.11,0.07,0.33,0.05,9819,124,0.21,7743,17,2,2,2,2,2,2,2,2
5990516,Provenierswijk,Provenierswijk,1,0.15,0.336,26418.64,0.26,0.28,0.76,0.73,0.55,22797,2621,0.43,0.03,12,0.8,0.05,0.05,0.03,0.07,0.11,0.26,0.07,0.3,0.25,0.05,0.4,0.22,0.22,0.09,0.06,4685,114,0.33,3117,15,2,2,2,2,3,3,2,2
5991703,Rijnpoort,Dorp/Rijnpoort,4,0.09,0.307,31570.65,0.58,NA,0.68,NA,0.06,29510,26,0.42,NA,2,0.85,NA,NA,NA,NA,NA,0.38,0.34,NA,NA,0.02,NA,NA,NA,NA,NA,64,3,NA,62,3,2,2,3,NA,2,NA,1,2
5992704,Rozenburg,Rozenburg,1,0.09,0.228,29653.67,0.55,0.17,0.48,0.64,0.22,27870,5729,0.27,0.01,8,0.84,0.05,0.05,0.02,0.04,0.12,0.7,0.06,0.1,0.02,0.02,0.54,0.13,0.04,0.18,0.11,12510,120,0.12,11025,4,2,2,2,2,1,2,1,2
5990814,Rubroek,Rubroek,1,0.17,0.297,23719.99,0.17,0.34,0.76,0.75,0.57,20776,4646,0.46,0.02,15,0.76,0.05,0.06,0.05,0.09,0.19,0.36,0.06,0.19,0.2,0.07,0.38,0.18,0.23,0.13,0.09,8278,143,0.35,5411,7,2,2,1,2,3,3,2,2
5990660,Schiebroek,Schiebroek,1,0.11,0.298,27984.78,0.39,0.31,0.71,0.66,0.37,23186.5,8128,0.27,0.03,15,0.75,0.05,0.06,0.05,0.09,0.12,0.45,0.07,0.2,0.16,0.02,0.45,0.1,0.05,0.34,0.06,17052,149,0.2,13560,5,2,2,2,2,2,2,2,2
5990329,Schiemond,Schiemond,1,0.12,0.322,30968.93,0.42,0.29,0.75,0.57,0.57,25382.5,2588,0.29,0,14,0.75,0.06,0.07,0.04,0.07,0.17,0.36,0.06,0.21,0.2,0.03,0.62,0.14,0.06,0.1,0.07,5386,114,0.36,3473,16,2,2,2,2,3,1,2,2
5990454,Schieveen,NoordKethel/Schieveen/Zestienhoven,6,0.08,0.274,38079.54,0.77,NA,0.65,NA,0.13,32841,149,0.16,NA,4,0.92,NA,NA,NA,NA,0.09,0.54,0.11,0.14,0.12,0.01,NA,NA,NA,NA,NA,337,12,NA,315,3,2,3,3,NA,2,NA,1,1
5991853,Spaanse Polder,Spaanse Polder,1,NA,0.311,32586.62,0.38,NA,0.7,NA,0.26,31987,52,0.58,NA,3,0.85,NA,NA,NA,NA,NA,0.47,NA,NA,NA,0.04,NA,NA,NA,NA,NA,101,12,0.14,87,3,2,2,2,NA,2,NA,1,NA
5990323,Spangen,Spangen,1,0.17,0.264,23247.55,0.27,0.34,0.7,0.56,0.65,20807,4452,0.38,0.01,17,0.69,0.08,0.08,0.06,0.09,0.28,0.44,0.06,0.13,0.09,0.04,0.64,0.1,0.06,0.12,0.08,10433,136,0.43,5976,16,2,2,2,2,2,1,3,2
5990110,Stadsdriehoek,Stadsdriehoek,1,0.16,0.377,31453.73,0.3,0.16,0.74,0.75,0.56,28078,10033,0.5,0.04,7,0.88,0.03,0.02,0.02,0.05,0.06,0.35,0.08,0.24,0.27,0.09,0.31,0.28,0.25,0.07,0.09,16838,170,0.34,11184,15,3,2,2,2,2,3,2,2
5991701,Strand en Duin,Strand en Duin,1,0.01,0.272,44319.37,0.91,NA,0.64,0.6,0.1,38016,913,0.09,NA,2,0.94,0.03,0.02,NA,NA,0.07,0.53,0.06,0.25,0.09,0.01,0.59,0.16,NA,NA,NA,2402,39,NA,2278,3,2,3,3,NA,2,2,1,1
5990847,Struisenburg,Struisenburg,1,0.08,0.401,26650.98,0.28,0.21,0.74,0.66,0.7,24089,3284,0.5,NA,6,0.9,0.03,0.02,0.01,0.03,0.07,0.21,0.09,0.28,0.34,0.19,0.14,0.13,0.52,0.03,0.18,5567,141,0.46,3010,7,3,2,2,2,2,2,3,1
5991571,Tarwewijk,Tarwewijk,1,0.25,0.252,21522.48,0.23,0.33,0.63,0.63,0.73,20034,5947,0.42,0.01,17,0.71,0.08,0.07,0.05,0.1,0.23,0.54,0.07,0.1,0.06,0.08,0.56,0.18,0.08,0.06,0.12,12590,150,0.5,6291,NA,2,2,2,2,2,2,3,3
5990664,Terbregge,Terbregge,1,0.08,0.332,42725.68,0.72,0.07,0.72,0.57,0.25,36585,1325,0.21,NA,6,0.88,0.05,0.03,0.01,0.03,0.06,0.4,0.08,0.24,0.22,0.01,0.61,0.22,0.08,NA,NA,3438,82,0.13,2985,5,2,3,3,1,2,1,1,1
5990322,Tussendijken,Tussendijken,1,0.2,0.257,20621.53,0.12,0.43,0.71,0.64,0.69,18188.5,3626,0.43,0.02,22,0.65,0.07,0.09,0.06,0.13,0.31,0.41,0.06,0.13,0.1,0.04,0.55,0.12,0.09,0.11,0.12,7356,129,0.47,3924,16,2,1,1,3,2,2,3,2
5991080,Vreewijk,Vreewijk,1,0.15,0.227,22255.6,0.14,0.41,0.6,0.66,0.46,19823.5,7367,0.41,0.03,20,0.67,0.06,0.09,0.06,0.12,0.24,0.57,0.05,0.1,0.04,0.03,0.51,0.12,0.05,0.23,0.09,14562,135,0.27,10610,20,2,2,1,3,1,2,2,2
5992194,Waalhaven,Waalhaven,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5992198,Waalhaven Zuid,Waalhaven Zuid,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5991575,Wielewaal,Wielewaal,1,0.24,0.239,20392.94,0.08,0.38,0.64,0.66,0.34,19004.5,237,0.53,NA,23,0.65,0.07,0.05,0.05,0.17,0.21,0.54,0.07,0.14,0.04,0.02,0.5,NA,NA,NA,NA,401,38,0.19,324,12,2,1,1,3,2,2,2,3
5990328,Witte Dorp,Oud Mathenesse/Witte Dorp,7,0.21,0.207,21792.46,0.26,0.42,0.62,0.27,0.55,19497,242,0.32,NA,21,0.66,0.07,0.08,0.07,0.12,0.34,0.49,NA,0.14,NA,0.03,0.85,NA,NA,0.14,NA,592,27,0.34,390,16,1,2,2,3,2,1,2,3
5990455,Zestienhoven,NoordKethel/Schieveen/Zestienhoven,6,0.08,0.29,42204.86,0.72,0.06,0.72,0.7,0.2,39306,1203,0.15,0.06,5,0.9,0.05,0.02,NA,0.02,0.05,0.24,0.07,0.28,0.37,0.01,0.47,0.19,0.15,0.13,NA,3520,71,0.1,3157,3,2,3,3,1,2,2,1,1
5991466,Zevenkamp,Zevenkamp,1,0.14,0.249,26578.99,0.42,0.26,0.62,0.66,0.41,24342,7542,0.27,0.04,14,0.75,0.06,0.06,0.04,0.08,0.13,0.57,0.07,0.16,0.07,0.02,0.5,0.1,0.05,0.28,0.08,16111,148,0.23,12358,17,2,2,2,2,2,2,2,2
5991578,Zuiderpark,Zuiderpark,1,0.12,0.268,19596.67,0.14,0.2,0.68,0.48,0.33,18200,901,0.27,0.4,19,0.75,0.03,0.05,0.04,0.14,0.23,0.46,0.02,0.07,0.21,0.01,0.7,NA,NA,NA,NA,1273,50,0.18,1041,12,2,1,1,2,2,1,2,2
5991576,Zuidplein,(Charlois) Zuidplein en Zuidrand,1,0.11,0.252,25335.93,0.32,0.17,0.64,0.67,0.55,23773.5,775,0.47,0.03,8,0.85,0.04,0.03,0.02,0.05,0.13,0.55,0.1,0.16,0.05,0.04,0.51,0.19,0.06,0.1,0.13,1300,64,0.33,870,12,2,2,2,2,2,2,2,2
5991573,Zuidwijk,Zuidwijk,1,0.2,0.243,22570.92,0.22,0.39,0.61,0.64,0.56,19984,7002,0.35,0.03,20,0.68,0.06,0.07,0.06,0.13,0.2,0.57,0.05,0.11,0.07,0.04,0.52,0.08,0.04,0.27,0.08,13893,146,0.34,9162,12,2,2,2,3,2,2,2,2